sexo,nombre,apellidos,partido,tipo_de_eleccion,entidad,distrito,circunscripcion,telefono,extension,correo_electronico,twitter,comisiones,bio,suplente_nombre,suplente_apellido
F,Rocío Adriana ,Abreu Artiñano,Partido Revolucionario Institucional,Mayoría relativa,Campeche,2,,,,,@RAbreuA,,,Laura Patricia,Romo Castorena
M,Carlos Humberto,Aceves del Olmo,Partido Revolucionario Institucional,Representación proporcional,Distrito Federal,,4,,,,,,,Mónica,Becerra Moreno
M,Rafael,Acosta Croda,Partido Acción Nacional,Mayoría relativa,Veracruz,12,,,,,@RafaelAcostaMx ,,,Héctor Eduardo ,Anaya Pérez
M,Rubén,Acosta Montoya ,Partido Verde Ecologista de México,Representación proporcional,Chihuahua,,1,,,,,,,Miguel Alfonso ,Vildosola Lacarra
M,Brasil Alberto,Acosta Peña,Partido Revolucionario Institucional,Representación proporcional,México,,5,,,,,,,Beatriz Ariana ,Flores Alvarado
M,Juan Pablo,Adame Alemán,Partido Acción Nacional,Representación proporcional,Morelos,,4,,,,@JuanPabloAdame,,,Ricardo ,Medina Fierro
M,Miguel Ángel,Aguayo López,Partido Revolucionario Institucional,Mayoría Relativa,Colima,1,,,,,@MiguelAguayoMx,,,Virginia Victoria ,Martínez Gutiérrez
F,Claudia Elena,Águila Torres,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,7,,,,,,,,Juan Andrés,Sollano García
F,Lilia ,Aguilar Gil,Partido del Trabajo,Representación proporcional,Chihuahua,,1,,,,@liliaguilarz,,,Martín ,Plascencia Ávila
F,Aurora de la Luz,Aguilar Rodríguez,Partido Acción Nacional,Representación proporcional,Tlaxcala,,4,,,,,,,Fausto,Gallardo García
M,Marcos,Aguilar Vega,Partido Acción Nacional,Mayoría relativa,Querétaro,3,,,,,@MarcosAguilar ,,,Alejandra,Herrera Soto
F,Aleida,Alavez Ruiz,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,19,,,,,,,,Martha Guadalupe ,Villarreal Rangel
M,Leobardo,Alcalá Padilla,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,8,,,,,@Leobardo_Alcala,,,Heidy Guadalupe,Heidy Guadalupe
F,Luisa María,Alcalde Luján ,Movimiento Ciudadano,Representación proporcional,Distrito Federal,,4,,,,@LuisaAlcalde,,,Luisa Del Carmen,Zapata Barredo
M,Luis Ricardo,Aldana Prieto,Partido Revolucionario Institucional,Representación proporcional,Veracruz,,3,,,,,,,Erika Del Carmen ,Ramagnoli Sosa
M,Edilberto,Algredo Jaramillo,Partido de la Revolución Democrática,Mayoría relativa,Tlaxcala,3,,,,,,,,Leticia P,Pérez Gusman
F,Ana Isabel,Allende Cano,Partido Revolucionario Institucional,Mayoría relativa,Puebla,8,,,,,@anitzaisa,,,,
M,Felipe de Jesús,Almaguer Torres,Partido Acción Nacional,Mayoría Relativa,San Luis Potosí,6,,,,,@felipedejesusal ,,,Ángel ,Domínguez Gutiérrez
M,Humberto,Alonso Morelli,Partido Acción Nacional,Mayoría relativa,Veracruz,4,,,,,@MorelliBoca,,,Eliseo ,Maheda López
M,Agustín Miguel,Alonso Raya,Partido de la Revolución Democrática,Representación proporcional,Guanajuato,,2,,,,,,,Adriana,Fonseca García
M,Antonio,Altamirano Carol,Partido de la Revolución Democrática,Mayoría relativa,Oaxaca,5,,,,,@CarolAntonioA,,,Levi Miroslava,Martínez Cruz
F,Brenda María Izontli,Alvarado Sánchez,Partido Revolucionario Institucional,Mayoría relativa,México,11,,,,,@Bren_Alvarado,,,Silvia ,Torreblanca Alfaro
F,Martha Berenice,Álvarez Tovar,Partido Acción Nacional,Representación proporcional,Michoacán,,5,,,,,,,Mario Francisco ,Guillén Guillén
F,María Elvia,Amaya Araujo,Partido Revolucionario Institucional,Representación proporcional,Baja California,,1,,,,,,,Carla Ibeth ,Pedrero Espinoza
F,María de Lourdes,Amaya Reyes,Partido de la Revolución Democrática,Mayoría Relativa,Distrito Federal,25,,,,,,,,Esperanza ,Avendaño López
M,Ricardo,Anaya Cortés,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,@RicardoAnayaC,,,Ramón,García Matus
M,Alfredo,Anaya Gudiño,Partido Revolucionario Institucional,Representación proporcional,Michoacán,,5,,,,,,,Lydia Del Carmen,Abarca Pinzón
M,Alberto,Anaya Gutiérrez,Partido del Trabajo,Representación proporcional,Nuevo León,,2,,,,,,,Priscila María,Acosta Villalpando
M,José Guillermo,Anaya Llamas,Partido Acción Nacional,Representación proporcional,Coahuila,,2,,,,,,,Lisbeth,Alonso Carreón
M,Carlos Fernando,Angulo Parra,Partido Acción Nacional,Mayoría Relativa,Chihuahua,3,,,,,@CarlosAnguloP ,,,José Antonio,Badia San Martín
M,Manuel,Añorve Baños,Partido Revolucionario Institucional,Representación proporcional,Guerrero,,4,,,,@manuelanorve,,,María Esther ,Martínez Rivera
M,Juan Jesús ,Aquino Calvo,Partido Acción Nacional,Representación proporcional,Chiapas,,3,,,,@Juan_Aquino_,,,Jesús,Aguilar Bueno
F,Elsa Patricia,Araujo de la Torre,Partido Revolucionario Institucional,Representación proporcional,Tamaulipas,,2,,,,,,,Mariam Carolina,Abdo Fierro
M,Salvador,Arellano Guzmán,Partido Revolucionario Institucional,Mayoría relativa,Jalisco,4,,,,,,,,Sigifredo,Galaz Varela
F,Consuelo,Argüelles Loya,Partido Acción Nacional,Representación proporcional,Nuevo León,,2,,,,,,,Ricardo ,Peña Parra
M,Luis Manuel,Arias Pallares,Partido de la Revolución Democrática,Representación proporcional,Distrito Federal,,4,,,,,,,Rosalba,Loya García
