numero	nombre	tema	descripcion	proponente	partido	comision	fecha_turno	fecha_votacion	estado	recursos_adicionales
1	Que reforma, adiciona y deroga diversas disposiciones de la Ley Orgánica de la Armada de México	seguridad, interior, seguridad nacional	Modificar el contenido orgánico y la estructura operativo-militar de la Armada de México. 	Senadores	Senadores	Marina	3/4/10	9/14/11	En Pleno	http://gaceta.diputados.gob.mx/Gaceta/61/2010/mar/20100304-I.html#Min20100304Armada2
2	Proyecto de decreto, que reforma diversas disposiciones de la Ley de Seguridad Nacional. 	seguridad interior, seguridad nacional, seguridad pública	Crear un marco normativo para la intervención de las Fuerzas Armadas en la resolución de asuntos de seguridad interior. 	Senadores	Senadores	Defensa Nacional, Gobernación, Justicia	4/28/10		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2010/abr/20100428-I.html#Minuta20100428LeySeguridadNacional
3	Proyecto de decreto, por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Acceso a la Información y Protección de Datos Personales.	acceso a la información, datos personales, transparencia	Fortalecer resoluciones del IFAI y dotarlo d autonomía, mejorar diseño institucional, aumentar sujetos obligados, limitar restricciones al acceso a la info	Senadores	Senadores	Función Pública, Gobernación, Justicia	4/29/10		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2010/abr/20100429-XI.pdf
4	Reforma diversas disposiciones de la Ley de Fondos de Aseguramiento Agropecuario y Rural.	agricultura, auditorías	Los fondos de aseguramiento contarán con una auditoría externa especializada, que permita el desempeño sustentable de sus operaciones.	Alba Leonila Méndez Herrera	PAN	Agricultura y Ganadería	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa13
5	Proyecto de decreto que reforma el artículo 2° de la Ley Federal contra la Delincuencia Organizada.	justicia, seguridad	Considerar los delitos catalogados como graves para sancionar a quienes los cometan como miembros de la delincuencia organizada.	Jorge Antonio Kahwagi Macari	Nueva Alianza	Justicia	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa1
6	Proyecto de decreto que reforma los artículos 10 y 76 Bis de la Ley de Amparo, Reglamentaria de los Artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos	amparo	Facultar a la víctima y al ofendido como titulares del derecho de exigir la reparación del daño o la responsabilidad civil proveniente de un delito, para promover un amparo.	Pedro Vázquez González	PT	Justicia	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa6
7	Proyecto de decreto que reforma los artículos 32 y 43 Bis de la Ley General de Población.	derechos de los migrantes	Obligar al Estado a proteger y garantir el trato digno y humano a todos los inmigrantes y transmigrantes que se encuentren en el país.	Jorge Venustiano González Ilescas 	PRI	Población, Fronteras y Asuntos Migratorios, Gobernación	2/8/11	9/28/11	Desechada en Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa3
8	Que reforma los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos,	amparo, garantías individuales	Tribunales federales resolverán las controversias por violación d garantías individuales sin importar la naturaleza jurídica del responsable	Carlos Alberto Pérez Cuevas	PAN	Puntos Constitucionales	2/8/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110208-V.html#Iniciativa16
9	Que reforma los artículos 41 y 42 de la Ley Federal de Presupuesto y Responsabilidad Hacendaria.	Plan Nacional de Desarrollo, Sistema de Evaluación del desempeño	Incluir evaluación de avances de objetivos y metas del PND y programas sectoriales con base en el Sistema de Evaluación del Desempeño	Juan Pablo Escobar Martínez	PAN	Presupuesto y Cuenta Pública	2/15/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110215-VIII.html#Iniciativa11
10	Proyecto de decreto que reforma el artículo 343 Ter del Código Penal Federal.	justicia, violencia familiar	Equiparar la violencia familiar a la que se produzca en la relación en donde se mantenga una relación de pareja.	Gerardo Del Mazo Morales	Nueva Alianza	Justicia	2/17/11		En Comision	http://gaceta.diputados.gob.mx/Gaceta/61/2011/feb/20110217-V.html#Iniciativa15
