Sexo,Nombre,Apellidos,Partido,Tipo de elección,Entidad,Distrito,Circunscripción,Teléfono,Extensión,Correo electrónico,Twitter,Comisiones,Bio,Suplente Nombre,Suplente Apellido
F,Luisa María,Alcalde Luján ,Movimiento Ciudadano,Representación proporcional,Distrito Federal,,4,,,,@LuisaAlcalde,,,Laura Patricia,Romo Castorena
F,Martha Beatriz,Córdova Bernal ,Movimiento Ciudadano,Representación proporcional,Chihuahua,,1,,,,,,,Mónica,Becerra Moreno
M,José Francisco,Coronato Rodríguez,Movimiento Ciudadano,Mayoría relativa,Morelos,1,,,,,,,,Héctor Eduardo ,Anaya Pérez
M,Jorge Federico,de la Vega Membrillo,Movimiento Ciudadano,Mayoría relativa,México,38,,,,,,,,Miguel Alfonso ,Vildosola Lacarra
M,Francisco Alfonso,Durazo Montaño ,Movimiento Ciudadano,Representación proporcional,Sonora,,1,,,,,,,Beatriz Ariana ,Flores Alvarado
F,Merilyn,Gómez Pozos,Movimiento Ciudadano,Representación proporcional,Jalisco,,1,,,,,,,Ricardo ,Medina Fierro
F,Zuleyma,Huidobro González ,Movimiento Ciudadano,Representación proporcional,Puebla,,4,,,,@ZuleymaHuidobro,,,Virginia Victoria ,Martínez Gutiérrez
M,José Antonio,Hurtado Gallegos,Movimiento Ciudadano,Mayoría Relativa,Distrito Federal,5,,,,,,,,Juan Andrés,Sollano García
M,Víctor Manuel,Jorrin Lozano,Movimiento Ciudadano,Mayoría Relativa ,Guerrero,4,,,,,,,,Martín ,Plascencia Ávila
M,Juan Luis,Martínez Martínez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,2,,,,,,,,Fausto,Gallardo García
M,Ricardo Sóstenes,Mejía Berdeja,Movimiento Ciudadano,Representación proporcional,Guerrero,,4,,,,,,,Alejandra,Herrera Soto
M,Ricardo,Monreal Ávila ,Movimiento Ciudadano,Representación proporcional,Distrito Federal,,4,,,,@RicardoMonrealA,,,Martha Guadalupe ,Villarreal Rangel
M,Juan Ignacio,Samperio Montaño,Movimiento Ciudadano,Representación proporcional,México,,5,,,,,,,Heidy Guadalupe,Heidy Guadalupe
M,José,Soto Martínez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,1,,,,,,,,Luisa Del Carmen,Zapata Barredo
F,Aída Fabiola,Valencia Ramírez,Movimiento Ciudadano,Mayoría relativa,Oaxaca,10,,,,,,,,Erika Del Carmen ,Ramagnoli Sosa
M,José Luis,Valle Magaña,Movimiento Ciudadano,Representación proporcional,Jalisco,,1,,,,,,,Leticia P,Pérez Gusman
F,Nelly del Carmen,Vargas Pérez ,Movimiento Ciudadano,Representación proporcional,Tabasco,,3,,,,,,,,
M,Fernando,Bribiesca Sahagún ,Nueva Alianza,Representación proporcional,Guanajuato,,2,,,,,,,Ángel ,Domínguez Gutiérrez
M,José Angelino,Caamal Mena ,Nueva Alianza,Representación proporcional,Campeche,,3,,,,,,,Eliseo ,Maheda López
F,María Sanjuana,Cerda Franco ,Nueva Alianza,Representación proporcional,Nuevo León,,2,,,,,,,Adriana,Fonseca García
M,Rubén Benjamín,Félix Hays ,Nueva Alianza,Representación proporcional,Sinaloa,,1,,,,,,,Levi Miroslava,Martínez Cruz
M,René Ricardo,Fujiwara Montelongo ,Nueva Alianza,Representación proporcional,Distrito Federal,,4,,,,,,,Silvia ,Torreblanca Alfaro
F,Lucila,Garfias Gutiérrez,Nueva Alianza,Representación proporcional,México,,5,,,,,,,Mario Francisco ,Guillén Guillén
M,Luis Antonio,González Roldán ,Nueva Alianza,Representación proporcional,México,,5,,,,,,,Carla Ibeth ,Pedrero Espinoza
F,Cristina,Olvera Barrios ,Nueva Alianza,Representación proporcional,Distrito Federal,,4,,,,,,,Esperanza ,Avendaño López
F,Sonia,Rincón Chanona ,Nueva Alianza,Representación proporcional,Chiapas,,3,,,,,,,Ramón,García Matus
F,Dora María Guadalupe,Talamante Lemas ,Nueva Alianza,Representación proporcional,Sonora,,1,,,,,,,Lydia Del Carmen,Abarca Pinzón
M,Rafael,Acosta Croda,Partido Acción Nacional,Mayoría relativa,Veracruz,12,,,,,,,,Priscila María,Acosta Villalpando
M,Juan Pablo,Adame Alemán,Partido Acción Nacional,Representación proporcional,Morelos,,4,,,,,,,Lisbeth,Alonso Carreón
F,Aurora de la Luz,Aguilar Rodríguez,Partido Acción Nacional,Representación proporcional,Tlaxcala,,4,,,,,,,José Antonio,Badia San Martín
M,Marcos,Aguilar Vega,Partido Acción Nacional,Mayoría relativa,Querétaro,3,,,,,,,,María Esther ,Martínez Rivera
M,Felipe de Jesús,Almaguer Torres,Partido Acción Nacional,Mayoría Relativa,San Luis Potosí,6,,,,,,,,Jesús,Aguilar Bueno
M,Humberto,Alonso Morelli,Partido Acción Nacional,Mayoría relativa,Veracruz,4,,,,,,,,Mariam Carolina,Abdo Fierro
F,Martha Berenice,Álvarez Tovar,Partido Acción Nacional,Representación proporcional,Michoacán,,5,,,,,,,Sigifredo,Galaz Varela
M,Ricardo,Anaya Cortés,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Ricardo ,Peña Parra
M,José Guillermo,Anaya Llamas,Partido Acción Nacional,Representación proporcional,Coahuila,,2,,,,,,,Rosalba,Loya García
M,Carlos Fernando,Angulo Parra,Partido Acción Nacional,Mayoría Relativa,Chihuahua,3,,,,,,,,María de Lourdes ,Flores Treviño
M,Juan Jesús ,Aquino Calvo,Partido Acción Nacional,Representación proporcional,Chiapas,,3,,,,,,,Karina Yanet ,Ríos Ornelas
F,Consuelo,Argüelles Loya,Partido Acción Nacional,Representación proporcional,Nuevo León,,2,,,,,,,Amparo ,Villanueva Cruz
M,Xavier,Azuara Zúñiga,Partido Acción Nacional,Mayoría Relativa,San Luis Potosí,5,,,,,,,,Alfio,Vega de la Peña
M,Omar Antonio,Borboa Becerra,Partido Acción Nacional,Mayoría Relativa,Jalisco,10,,,,,,,,Teodoro,Arguijo Hernández
M,José Alfredo,Botello Montes,Partido Acción Nacional,Representación proporcional,Querétaro,,2,,,,,,,Rocío ,Vázquez Hernández
M,Juan,Bueno Torio,Partido Acción Nacional,Representación proporcional,Veracruz,,3,,,,,,,Angela,Anchondo Rivera
M,Juan Francisco,Cáceres de la Fuente,Partido Acción Nacional,Representación proporcional,Tabasco,,3,,,,,,,Luis Fernando ,Mancilla Fuentes
M,Rubén,Camarillo Ortega,Partido Acción Nacional,Representación proporcional,Aguascalientes,,2,,,,,,,Dunia Eliane,de la Vega Preciado
M,Gabriel,Cárdenas Guízar,Partido Acción Nacional,Mayoría relativa,Veracruz,17,,,,,,,,Carmen Alicia,Vera Juárez
M,Genaro,Carreño Muro,Partido Acción Nacional,Mayoría Relativa,Guanajuato,8,,,,,,,,Juan de Jesús,Hernández Ramírez
